"Id","Category","Slug","Name","Original name","Production year","Episodes","Seasons","Duration","Description","Genres","Genres2","Genres3","Country","Age"
"000cd870-bdf9-4d13-b9fa-c60757e405ff","1","devochka-hochesh-snimatsya-v-kino","Девочка, хочешь сниматься в кино?",,"1977",,,,,"Драма",,,"1","12"
"0015721e-a1dd-4fd3-adf4-3ece2cad950c","1","ekzamen-dlya-dvoih","Экзамен для двоих","Экзамен для двоих","2013",,,,,"Комедия","Мелодрама","Драма",,"12"
"0025f177-0e8d-443b-acbd-79576e2cfed6","1","rokovaya-krasotka","Роковая красотка","Hors de prix","2006",,,,,,"Мелодрама","Комедия","2","16"
"0043973d-dd07-4268-8178-7a7b16992a5d","1","kot-v-sapogah-4b492c06-aadb-40ec-94da-a7644c439a7f","Кот в сапогах","Puss in Boots","1968",,,,,,,"Мультфильм","1","12"
"005975ec-3711-4e12-8af1-c3884c8473a7","1","navyazchivye-ritmy","Навязчивые ритмы","Cadences obstinées","2014",,,,,,"Мелодрама",,"2","12"
"005efad7-7e2d-4337-9299-cef3fd50c2de","1","bunker-62c20e4b-ae10-4683-a239-bb299fdf492b","Бункер","La cara oculta","2011",,,,,"Драма",,"Триллер","2","16"
"0060d740-1f01-4d18-8721-3dacf2fb3071","1","priklucheniya-geklberri-finna","Приключения Гекльберри Финна","The Adventures of Huck Finn","2013",,,,,,"Приключения",,"2","6"
"006156cb-2d6b-4983-96f3-d94b7ce01d5f","1","detka-iz-shanhaya","Девушка из Шанхая","Shanghai Baby","2007",,,,,,"Драма",,"2","16"
"0083ea76-9396-4406-8c82-7299516337a6","1","ogni-bolshoi-derevni","Огни большой деревни","Big Village Lights","2017",,,,,"Комедия",,,,"12"
"008a7cf3-96e2-40f2-ab36-94ccd60807e2","1","osatanevshaya","Осатаневшая","Kim Bok-nam salinsageonui jeonmal","2010",,,,,"Драма",,"Триллер","2","18"
"008d948c-8e56-4188-9602-356675f495cb","1","grabiteli","Грабители","Robbers","2017",,,,,"Драма","Криминал",,,"16"
"00a782b4-cdda-4be0-b8fb-2fd070e8f8d4","1","zmeinyi-istochnik","Змеиный источник",,"1997",,,,,,"Ужасы","Триллер","1","18"
"00a83d0f-0bcb-4609-b701-b3bc0849716d","1","moris-rishar-51376500-0b3a-408f-b1bc-a0090a812376","Морис Ришар","Maurice Richard","2005",,,,,"Драма",,"Спорт","2","16"
"00ccf8d0-7934-4c50-8022-6bbf0602db2c","1","pohischennaya","Похищенная","A Lonely Place to Die","2011",,,,,,"Боевик","Триллер","2","16"
"00dff94a-9b6e-4fb7-8ac3-b32ad8535f91","1","zhizn-za-granu","Жизнь за гранью","After.Life","2009",,,,,,"Ужасы","Триллер","2","16"
"00ee5898-cc4c-4ca4-bedd-042c16d9c891","1","smeh-i-gore-u-bela-morya-119b5b8e-e03e-4520-8b3a-e8c9c53d452d","Смех и горе у Бела моря","Smekh i Gore u Bela Morya","1988",,,,,,,"Мультфильм","1","12"
"00f86c7c-0e29-4244-ad83-84150654ca9e","1","leon","Леон","Léon","1994",,,,,"Триллер","Драма","Криминал",,"16"
"0103dd21-1dc9-43eb-96db-f09f0bbb28a8","1","kop-i-shtyk-zavzyatye-kroty","Коп и Штык завзятые кроты","Moles Kop and Shtyk","2002",,,,,,"Мультфильм",,"1","6"
"010bb01b-746b-457f-8198-08d710d850cf","1","otpusk-letom","Отпуск летом",,"2014",,,,,"Мелодрама",,,,"12"
"010e3aa6-1dcc-4ce4-8d03-abb45a127e7e","1","vse-o-muzhchinah-uhd","Все о мужчинах UHD","Everything About Men UHD","2016",,,,,"Комедия",,,,"16"
"0113280e-7e02-406a-8788-cf014c60ee0e","1","zalozhnitsa-2","Заложница 2","Taken 2","2012",,,,,,"Боевик","Триллер","2","16"
"0130aff8-f433-44b6-833f-ac9e740fa2cd","1","legenda-o-bessmertii","Легенда о бессмертии","Legend of immortality","1985",,,,,"Драма",,,"1","12"
"013b5309-7204-47c0-94b8-00154fed57b5","1","tvorenie-gospodne","Творение Господне","Something the Lord Made","2005",,,,,,"Драма",,"2","16"
"0145ded7-4dae-4905-bd0c-85ddcc40a2fd","1","skazka-pro-kolobok-f1bb6114-b3cd-4ed4-847c-1f814be6f957","Сказка про Колобок",,"1969",,,,,,,"Мультфильм","1","6"
"014aedbf-9be6-43d0-958f-3ae8e6d85336","1","berni","Берни","Bernie","2011",,,,,"Драма",,"Комедия","2","12"
"01503121-93d5-4533-9ce2-8ae973ed3488","1","geograf-globus-propil","Географ глобус пропил",,"2013",,,,,"Драма","Мелодрама",,,"16"
"0156f806-25fc-48ad-877e-d5fd6ceb9b80","1","pro-fomu-i-pro-eremu-6974c95e-d479-4735-a597-85919ba40774","Про Фому и про Ерему","O Fomu a asi Eremu","1984",,,,,,"Мультфильм",,"1","12"
"015bfdd0-8ecf-413b-a1ce-c3947a127e13","1","chuzhoe-litso","Чужое лицо",,"2015",,,,,"Мелодрама",,,,"12"
"015f9f5c-d228-469d-9b72-8f56290081c3","1","slamber-labirinty-sna-uhd-hdr","Сламбер: Лабиринты сна UHD HDR","Slumber UHD HDR","2018",,,,,,"Ужасы",,"2","18"
"016300fe-0d54-495b-8dc2-5a57ad4982f0","1","igra-v-pravdu","Игра в правду","Game of truth","2013",,,,,"Комедия",,,"1","18"
"018754a9-ec39-439e-b8cd-51026769817f","1","korabl-prizrak","Корабль-призрак","Корабль-призрак","1969",,,,,"Фантастика","Мультфильм","Приключения",,"0"
"019166d6-7369-4b7d-a222-b542b09caed1","1","katerok-e09b8ae4-48b4-49ca-b09b-92a9667d2203","Катерок","The Little Boat","1970",,,,,,,"Мультфильм","1","6"
"0193834a-1f37-4abb-acc7-82fdcc59fbca","1","elvira-povelitelnitsa-tmy","Эльвира: Повелительница тьмы","Эльвира: Повелительница тьмы","1988",,,,,"Комедия","Фантастика","Ужасы",,"18"
"01965d60-4e88-43a0-966b-ad9899cf2fb8","1","mest-istoriya-lubvi","Месть: История любви","Fuk sau che chi sei","2010",,,,,,"Триллер","Ужасы","2","18"
"01a2a105-a9dc-4adb-b9e2-6d4e168c1873","1","elastiko-4d00012e-95bc-42ec-8b17-0349d2eb8e17","Эластико",,"2016",,,,,"Криминал","Мелодрама","Спорт",,"12"
"01ae5c16-999d-4dc4-ac4d-841f635ecb05","1","beregis-avtomobilya","Берегись автомобиля","Beware of the Car","1966",,,,,"Мелодрама","Криминал","Комедия",,"12"
"01ba4013-e6bf-4b3f-b17f-4b31aaa465d2","1","zhuravlinye-perya-3334d97b-b479-45fc-b067-56e4f0744be5","Журавлиные перья","Cranes feathers","1977",,,,,,,"Мультфильм","1","6"
"01c07121-5e53-46b0-a6a6-247617a398d0","1","zlaya-shutka","Злая шутка","Evil Joke","2016",,,,,"Мелодрама",,,,"12"
"01e268c4-0a59-4dd0-919f-6e5b0ebc85b6","1","krovnyi-otets","Кровный отец","Blood Father","2016",,,,,"Триллер","Боевик",,"2","18"
"0267b5b0-5b89-4648-9f47-c8069fe3f509","1","lovkach-i-hippoza","Ловкач и Хиппоза","You Can't Leave Me Like This","1990",,,,,"Боевик","Драма",,,"6"
"0272f230-f75e-4d90-9685-a5169dc4c134","1","prizraki-eloiz","Призраки Элоиз","Eloise","2017",,,,,"Триллер","Ужасы",,"2","18"
"027c0ffe-815a-475a-99db-e232139736ce","1","sex-doll","Sex Doll","Sex Doll","2017",,,,,,"Триллер",,"2","18"
"027c7078-e299-4785-8df9-654d10f1c86a","1","toptyzhka-dd90a686-ff89-487c-a8f2-82e2fdc9c095","Топтыжка","Toptyzhka","1964",,,,,,,"Мультфильм","1","0"
"02837d47-42ed-4ec2-89a1-a0db53e13ddf","1","pod-kamennym-nebom","Под каменным небом",,"1974",,,,,,"Драма","Военные","1","12"
"0298d178-3740-4c56-a0ff-481415faede7","1","beshenye-gonki","Бешеные гонки","Drive Hard","2014",,,,,"Боевик",,"Комедия","2","16"
"02a33dbc-b8ed-47da-a856-923a5fa43064","1","serezha","Сережа","Seryozha","1960",,,,,"Драма",,,,"12"
"02a88b8f-ccfb-48ce-a100-32749fb1114a","1","skazka-o-prekrasnoi-aisulu","Сказка о прекрасной Айсулу","Айдай слу Айсұлу туралы ертегі","1987",,,,,"Фантастика",,,,"12"
"02b047c7-9be3-4651-be40-bea8b239b742","1","tri-dnya-na-pobeg","Три дня на побег","Три дня на побег","2010",,,,,"Триллер","Криминал","Драма",,"12"
"02b059ed-9f61-426f-9269-840e348956e7","1","korotkie-istorii","Короткие истории","Short stories","1970",,,,,,"Мультфильм",,"1","12"
"02b5fdbf-9084-4b78-b74e-71e55f907127","1","chudo-4e9c8015-55e8-410b-8297-7d9bad9c986d","Чудо","La milagrosa","2008",,,,,"Драма",,"Военные","2","16"
"02d7a7ed-0b8d-4bee-9d3b-df2519d1f129","1","zhizn-devida-geila","Жизнь Дэвида Гейла","The Life of David Gale","2003",,,,,"Драма",,"Триллер","2","18"
"02e7c6c9-0fa7-4d82-a4d2-8e53c315ff77","1","ekstrasens-a2d5c642-30bb-4f0b-b18a-dbd75489b5fd","Экстрасенс","The Awakening","2011",,,,,,"Ужасы","Триллер","2","16"
"02edc5e4-c041-4d59-a3a1-e20f7ecab1ad","1","spark-geroi-vselennoi-uhd","СПАРК. Герой Вселенной UHD","Spark: A Space Tail UHD","2017",,,,,"Семейный","Комедия",,"2","6"
