"promo","used"
"LAYSKXINO",false
"LAYSU7M5R",false
"LAYS9G45P",false
"LAYSIZFNK",false
"LAYSC1032",false
"LAYSNV8GL",false
"LAYSF28FT",false
"LAYSW97JT",false
"LAYS1HSXB",false
"LAYS3WBUX",false
"LAYSAIPSI",false
"LAYSZYGGH",false
"LAYS3I0XK",false
"LAYSVU3DK",false
"LAYSVAO7P",false
"LAYSPR7WX",false
"LAYSECDFO",false
"LAYSBOGLH",false
"LAYS8N22Q",false
"LAYS5PFM3",false
"LAYS5XTOZ",false
"LAYS4EDZZ",false
"LAYSJBQXP",false
"LAYS560NX",false
"LAYS2CIT3",false
"LAYS6SX9J",false
"LAYS7NT6E",false
"LAYSEHRSU",false
"LAYS52U5V",false
"LAYS7WGWF",false
"LAYSPLZWG",false
"LAYSYU9AX",false
"LAYSR6516",false
"LAYSNN4IJ",false
"LAYS3SA1U",false
"LAYSI7CAH",false
"LAYSWMTI6",false
"LAYSVOWTU",false
"LAYSXNSX9",false
"LAYS4ZQAI",false
"LAYSXJ7M7",false
"LAYSK6G8H",false
"LAYSWELKV",false
"LAYSFM8WQ",false
"LAYSK971Q",false
"LAYS0R3P7",false
"LAYS5LNN6",false
"LAYS1EJK9",false
"LAYSNM0I8",false
"LAYS4YKRL",false
"LAYSOTHEJ",false
"LAYSKDF46",false
"LAYSVD18N",false
"LAYS8P8OB",false
"LAYS6TYJX",false
"LAYSOMT6C",false
"LAYSAO8W8",false
"LAYSPQ3DF",false
"LAYSOLK5I",false
"LAYS4AVWT",false
"LAYSE9VZZ",false
"LAYSM9JMK",false
"LAYSKZUPE",false
"LAYSCPASD",false
"LAYSYT71P",false
"LAYS97CXF",false
"LAYSXWYGB",false
"LAYSR5QI6",false
"LAYS1BQFF",false
"LAYS1FOZ9",false
"LAYSZ3TTG",false
"LAYSAVDBX",false
"LAYSPHHPA",false
"LAYS11LU0",false
"LAYS41UXN",false
"LAYSRJQDZ",false
"LAYS8IPXC",false
"LAYS24VKX",false
"LAYSPWULS",false
